Date "Quasar Coordinates (hms.ss dms)" "RA (deg)" "Dec (deg)" Airmass
2025-2-02T06:00:00 "0d04m06.45s, -0d18m33.3s" 0.06845833333333333 -0.30924999999999997 10.0
2025-2-03T06:00:00 "114d55m12.9s, 32d31m52.5s" 114.92025 32.53125 2.200341205490033
2025-2-04T06:00:00 "0d04m06.45s, -0d18m33.3s" 0.06845833333333333 -0.30924999999999997 10.0
2025-2-05T06:00:00 "114d55m12.9s, 32d31m52.5s" 114.92025 32.53125 7.508736871462002
2025-2-06T06:00:00 "114d55m12.9s, 32d31m52.5s" 114.92025 32.53125 1.2071397739243608
2025-2-07T06:00:00 "115d10m52.05s, 31d42m01.2s" 115.181125 31.700333333333333 9.232748647886098
2025-2-08T06:00:00 "0d04m06.45s, -0d18m33.3s" 0.06845833333333333 -0.30924999999999997 10.0
2025-2-09T06:00:00 "115d10m52.05s, 31d42m01.2s" 115.181125 31.700333333333333 4.836103107213889
2025-2-10T06:00:00 "115d10m52.05s, 31d42m01.2s" 115.181125 31.700333333333333 1.6605953076559608
2025-2-11T06:00:00 "0d04m06.45s, -0d18m33.3s" 0.06845833333333333 -0.30924999999999997 10.0
2025-2-12T06:00:00 "122d49m10.5s, 32d09m35.3s" 122.81958333333333 32.15980555555556 1.1054600673754953
2025-2-13T06:00:00 "122d49m10.5s, 32d09m35.3s" 122.81958333333333 32.15980555555556 7.508736871462002
2025-2-14T06:00:00 "122d49m10.5s, 32d09m35.3s" 122.81958333333333 32.15980555555556 1.143806944704701
2025-2-15T06:00:00 "0d04m06.45s, -0d18m33.3s" 0.06845833333333333 -0.30924999999999997 10.0
2025-2-16T06:00:00 "0d04m06.45s, -0d18m33.3s" 0.06845833333333333 -0.30924999999999997 10.0
2025-2-17T06:00:00 "124d24m19.05s, 31d47m07.3s" 124.40529166666664 31.78536111111111 1.9505850523014465
2025-2-18T06:00:00 "126d34m55.5s, 31d48m47.9s" 126.58208333333332 31.813305555555555 1.143806944704701
2025-2-19T06:00:00 "126d34m55.5s, 31d48m47.9s" 126.58208333333332 31.813305555555555 1.0182923407493027
2025-2-20T06:00:00 "0d04m06.45s, -0d18m33.3s" 0.06845833333333333 -0.30924999999999997 10.0
2025-2-21T06:00:00 "126d34m55.5s, 31d48m47.9s" 126.58208333333332 31.813305555555555 1.4458353942137516
2025-2-22T06:00:00 "126d34m55.5s, 31d48m47.9s" 126.58208333333332 31.813305555555555 1.1029894980679045
2025-2-23T06:00:00 "134d28m25.5s, 30d32m58.3s" 134.47374999999997 30.54952777777778 2.8826336999609303
2025-2-24T06:00:00 "0d04m06.45s, -0d18m33.3s" 0.06845833333333333 -0.30924999999999997 10.0
2025-2-25T06:00:00 "134d28m25.5s, 30d32m58.3s" 134.47374999999997 30.54952777777778 1.7264605885141548
2025-2-26T06:00:00 "134d28m25.5s, 30d32m58.3s" 134.47374999999997 30.54952777777778 2.8459056273367977
2025-2-27T06:00:00 "134d28m25.5s, 30d32m58.3s" 134.47374999999997 30.54952777777778 16.06374985975877
2025-3-01T06:00:00 "0d04m06.45s, -0d18m33.3s" 0.06845833333333333 -0.30924999999999997 10.0
2025-2-28T06:00:00 "137d26m57.75s, 31d24m43.6s" 137.449375 31.41211111111111 1.0254096234963885
